Part Name,Quantity,Cost Per Pack,Total Cost for All Packs,Purchase Link
36T Steel MOD 0.8 Gear for the drill end servo (1 pack),1,12.59,12.59,https://www.gobilda.com/2303-series-steel-mod-0-8-pinion-gear-8mm-rex-bore-36-tooth/
8 mm REX Shaft (1 pack),2,4.19,8.38,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-43mm-length/
Coupler for attaching drill bit to REX shaft (1 pack),1,9.99,9.99,https://www.gobilda.com/4007-series-hyper-coupler-8mm-rex-bore-to-8mm-rex-bore/
500 mm D-shaft (1 pack),1,28.84,28.84,https://www.grainger.com/product/D-Profile-Rotary-Shaft-1045-827H84
Bearing for Turntable (10 pack),1,7.89,7.89,https://www.amazon.com/HiPicco-608-2RS-Bearings-Miniature-Pre-Lubricated/dp/B0CH2WZQMJ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.TmBqVk2BsazmbfFV9d7zogrBx5D4aHn15_cxnPy-vql1L7ED0Mc0izvd2IqyECXHpCHS9UBHy9m8xjtCSRQC8vF51_IRQw0SDplV6t-JIR_HAC2DQW3qKhzWMOqCP8CL-5QcPfBK_PZwSwzDYU7EI5dywgS_a-F20-nqR9UkSpUJUmbg-QbkjiEG4QX9tg1TkdbkibhJfdPxmmqeOe_qHg_vWE9yQ0gVaQ2ZWv4QO_U.mBVMkDSrnvSsEbQ9MfNuJ3KUl4P-q5xtt519PQgSfI8&dib_tag=se&keywords=8%2Bmm%2BID%2Bbearing%2Bheavy%2Bduty&qid=1787620500&refinements=p_72%3A1248861011&rnid=1248859011&sr=8-11&th=1
AC Power Inlet Switch (3 pack),1,9.59,9.59,https://www.amazon.com/MKBKLLJY-Rocker-Switch-Mounting-Extension/dp/B0C2GHJGW2/ref=sr_1_17_sspa?dib=eyJ2IjoiMSJ9.KgCDLhNPkv6-z7o4MsRkA96Xds5yURwi85hSljNRlfF6APgroyKLL0tCuG2XYZSy8ONYpfxQQ_YHXgJBGsgXoY9Ouyal8kbpI0sl5o-Py4awolshZOdmbYLqUDSXKfx8boD2I8f4rgGnMPv-NpYxcyVdwAT8q1iAmDQaHQFlIT9BM-9OpAZGZ1uCTWdJMER59QRiAX-XkC2uyDiRCUFDU7Jk9jmgo6LDAuirsqSJ0fUp1DLMO8ceVb9EjBPa4OXDt6FH3h0Vuw_bwzaokZ8KSEM8JR-Nefoz5UF7DFdKonY.gE_jCqEo_UoJQfSQqEcZXkeOnBbE290C6LR-u_4jJ1Y&dib_tag=se&keywords=ac%2Binlet%2Bmodule%2Bwith%2Bswitch&qid=1787696586&sr=8-17-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
14 AWG Wire (10 feet each of red and black),1,9.88,9.88,https://www.amazon.com/Electrical-Silicone-Flexible-Temperature-Resistance/dp/B0746H96QK/ref=sr_1_6?crid=2I2V1R7RQONYI&dib=eyJ2IjoiMSJ9.htvCyCzdfCohXLsEHhmeUTi-edQBaftL6db9ciAdiZIFd3giJg3AMOuD53IPdEnGhA42EpkaVQ9-XvP17-adDV16Jk79g-QriX4fqQO5YB5cJBW4BpFVXr2OKaZHfoFc74xjMnihJksGV1stZLDWzztZJc64JASjrP8UzH3a65lO-uD7doHnyjtR6M8qZWeCu-iNlQ83hHVqRCgSo661cwOnVUoG9GumJ23ZneFUYdxaE9MYjTQ3vqdw0iSu5l4lQ81-ElyZ7ZUBKCuTPVUvyHNsKd6GQAykqexae1OPQOo.Fo1YJP60lF4cHFc54EDy-AdbGsbXeSUecWngTLEWrBc&dib_tag=se&keywords=14%2Bawg%2Bwire%2Bsilicone&qid=1787699062&sprefix=14%2Bawg%2Bwire%2Bsi%2Caps%2C179&sr=8-6&th=1
Plum Coupler for misaligned shaft (2 pack),1,11.99,11.99,https://www.amazon.com/Zeberoxyz-Aluminium-Diameter20mm-Length25mm-Motor%EF%BC%888x8mm%EF%BC%89/dp/B08QVKMDC6/ref=sr_1_9?crid=3S0L557S153R9&dib=eyJ2IjoiMSJ9.zXb-ULd_AaG-UIybMv9yuOYuWmUticyttRn6Ij5OuyMHYoi8-I4u3B2cogA8Xe2qA9FEhUCY2PSD1Sw1XaMrd2gNJIWiVDNoqfc71hWTnooOf85v9TUg1V7S_Q6N8YNB58_o03dHWfLzN-IzRYmBqZqAzAMQL4nysjY7i8eNC3B2Szg1DbAoe9VBiUiEWNthMya0YTgj9GVInzpEeQRcx7sGbzUTpnOzhA8nzkJ-C40.lYQb1mWInNRAdFu3FxBeydowr_sFewqL7ODqm7pseik&dib_tag=se&keywords=motor%2Bshaft%2Bcoupler%2B8mm%2Bto%2B8mm&qid=1787952761&sprefix=motor%2Bshaft%2Bcoupler%2B8mm%2Bto%2B8mm%2Caps%2C180&sr=8-9&th=1
Rubber grommets (200 pack),1,7.99,7.99,https://www.amazon.com/Firewall-Grommets-Assortment-Automotive-Organization/dp/B0F8N9PLXT/ref=sr_1_1_sspa?crid=2OZ3WP84TM0IK&dib=eyJ2IjoiMSJ9.USkJNQrigUZFpyOyQjrvEQDn2B4rWV75h5lWK3SgLUlte-8sQGrZ8Ip9hAhnBuoU9GG_IQ41KuFJADFAwcP5j1Gk5ejTgmZVkdfGT_UW9k5ZnKVnWUt25opAsmXYYKJBQbpIMb63w72sFwicHVR3W2n6s866DCwU9TPLGq2RhZ39yzHsBUm0hVAqlcaT38qcKwtwMttejCy9RmwTjtWd29_NIu24o7T7EF-7aATE7O8.DH6Dk_mre8tL15Xd42slox4GbJb9qH8Ak03rVMc2wqY&dib_tag=se&keywords=metric+rubber+grommets+assortment+kit&qid=1788305382&sprefix=metricrubber+grommets+assortment+kit%2Caps%2C155&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Zip ties (1000 pack),1,7.99,7.99,https://www.amazon.com/Small-Tensile-Strength-Tantti-Supply/dp/B0C2KGK2HR/ref=sr_1_2_sspa?crid=1YSIE12YZZI1E&dib=eyJ2IjoiMSJ9.HorVoQqdXmn-84KTi5eP1YzcxMU1Pn3IW1sYqo6dOPv-m9Q7jE5LYobYCXLVUgOJJtfp-KF6LM8AzIEVOaej6K7WRBJeGouiN858p6-q76b2H7n5dMx8_KHJT2RQB1AtLzhNZ0AajnXpY89b-2ouSK2NH7h6OQDEYDrRGpxdTL5t11iCxjBkAivoM0PJFZc2yDqSUZH7LryM3V0BCsYCMKeYhxt_lesbqSx5UEyePz4.vdPRTvvxcK3eGo3-Tvfkqxu9t8RCvANRjje_S25ASLM&dib_tag=se&keywords=zip%2Bties%2B4%2Binch&qid=1788307835&sprefix=zip%2Bties%2B4%2B%2Caps%2C165&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
